number,value,state,net_pnl,max_drawdown,sharpe_like,maker_fee,volume_cap_ratio,fill_on_touch,rng_seed,MIN_SPREAD,BASE_SPREAD_raw,MAX_SPREAD,ORDER_LEVELS,MIN_ORDER_SIZE,ORDER_SIZE_INCREMENT,MAX_POSITION,INVENTORY_EXTREME,VOLATILITY_WINDOW,VOLATILITY_STD,STOP_LOSS_PCT,TAKE_PROFIT_PCT
63,0.00912025,1,0.010381,0.005043,0.0397,-0.00023023967158155472,0.1617109790743323,True,6,0.00013573339851620137,0.0048078529426492786,0.010398936841106177,5,0.016996389215084513,0.007923102175530043,1.4081927545405355,0.957940312691429,26,2.832978801167161,0.012583690712458857,0.011967368121011705
64,0.008598,1,0.009864,0.005064,0.0378,0.0003106153491158648,0.1887216518350739,True,6,6.396011745742331e-05,0.0027310860506969264,0.008554338333014888,6,0.09266055925751829,0.08015511408527842,6.407272915716157,0.9448480740532262,134,2.5238435488952495,0.01191868843506827,0.0127823099408645
65,0.01035725,1,0.011606,0.004995,0.0443,-4.014490518541401e-05,0.47280866457278925,True,5,0.00011979076502775638,0.003021716923926069,0.011831961575413606,5,0.012667446224770913,0.011669284134497906,0.34094988852727104,0.7319647839358999,72,2.6392333539200434,0.012663266373742389,0.003541009195438327
66,0.0083325,1,0.009601,0.005074,0.0368,0.0003514362508143085,0.5476317916272637,True,4,0.00013818850052678405,0.002362581300574704,0.012780178318195721,6,0.03662880021361136,0.035743211311397446,0.3757451437902877,0.9654023606937084,113,2.7812240670031168,0.011096240275967383,0.015827309353359846
67,0.00999675,1,0.011249,0.005009,0.043,9.557779251440639e-05,0.3100284318644624,True,2,5.843199399717774e-05,0.0015893014014982906,0.01800055475442849,3,0.07268485447192255,0.06925366857250503,2.8652837567121874,0.9428030160120169,123,2.8480081614053185,0.007772502389598091,0.023696113717860685
68,0.0,1,0.0,0.0,0.0,-2.127035509294069e-05,0.3915078841635646,False,7,5.291346230407152e-05,0.0016748749174996553,0.003318385494872409,7,0.12479108242488503,0.10659082718254445,7.54115965277416,0.9665820242303534,91,2.8239469756124955,0.012241391900527906,0.018350867164344652
69,0.00944425,1,0.010702,0.005031,0.0409,0.00018038593487198189,0.2898433276488088,True,7,0.00025052380800317506,0.001554997908096304,0.00783901888761907,5,0.18111242251971862,0.1138660216918968,8.581540718149805,0.9249867321862042,131,2.9488150344119104,0.009820924717978506,0.016117079183741098
70,0.0103855,1,0.011634,0.004994,0.0444,-3.575655833828441e-05,0.27158985827705046,True,6,5.808680197192856e-05,0.0035291751739154253,0.010551047218389323,7,0.17812424283974543,0.12379142258834674,1.5529838670143608,0.8889714711377742,124,2.7082764452843273,0.016680045045946865,0.026570669363803378
71,0.010446,1,0.011694,0.004992,0.0446,-2.6468437303149687e-05,0.3282051837545338,True,4,7.120944720764643e-05,0.0009987482382650382,0.0072116602214554,6,0.144696924718895,0.12772705814935326,1.1084037651923266,0.9290332308429037,194,2.9653900760050336,0.015823547320156364,0.02360094058301852
72,0.0,1,0.0,0.0,0.0,-5.2872069797073955e-05,0.2429506408928887,False,4,0.00018459243317785123,0.002590654415862008,0.009778682528134082,7,0.10299658547470328,0.08858762295432009,5.69865841369624,0.9950607957355087,58,2.92010153790808,0.015133201741026822,0.013075528075940587
73,0.0,1,0.0,0.0,0.0,-6.026389531011499e-05,0.34962113865533395,False,6,0.00032440720757474133,0.0047038753916959575,0.01031707253823829,7,0.06357992389214413,0.061090541985256895,4.997200755995685,0.928815557335298,36,2.8832300388120347,0.01114706505678521,0.008281674495164834
74,0.01055525,1,0.011802,0.004987,0.045,9.680350617566283e-06,0.4654080896707023,True,4,0.0004010613373914539,0.003518570472901155,0.01045680805672203,6,0.032310482955456965,0.023370627897672077,3.0582039488793726,0.9976703484647534,52,2.5271790705958797,0.010351851296942785,0.01791531145429512
75,0.0096785,1,0.010934,0.005022,0.0418,0.00014438828576574203,0.552262974331719,True,4,0.000692291848589731,0.003474844060080793,0.010884590757899505,4,0.0064953772924264816,0.005583882494855207,0.046630171702627066,0.7986134199937498,46,2.36680211876413,0.010434221298037588,0.006327684165360225
76,0.0102765,1,0.011526,0.004998,0.044,5.2580044739387936e-05,0.5168084610721444,True,2,0.0003455898288232119,0.0011102217898310476,0.019776322742130443,4,0.01131617649198573,0.01066855584009612,0.7649055607393055,0.9895728803723606,21,2.4097491052016493,0.010361790319660391,0.013831053416503808
77,0.010013000000000001,1,0.011265,0.005008,0.043,9.299481565344952e-05,0.36821968892696116,True,6,0.0007732353010311308,0.003478280032501956,0.012255874878178013,3,0.008599867227266158,0.006874469734675056,0.23118103362017897,0.8180191293704183,93,2.6459215594067933,0.01783599709122052,0.02845626259154132
78,0.01035325,1,0.011602,0.004995,0.0443,-4.0760304484364055e-05,0.29136524536632696,True,4,0.0008236295978266949,0.004768361457371744,0.011096999880227368,3,0.009268771405607543,0.0074498697953722815,0.2557702101294047,0.7439622976201665,100,2.4446293027406085,0.01312716719109226,0.010101081592207196
79,0.01035925,1,0.011608,0.004995,0.0443,3.971775821038006e-05,0.32830410209807265,True,7,0.00030723273791982036,0.0020579915862299256,0.013921474350304046,3,0.07489159666974014,0.03012510380618858,2.9586123930649886,0.8675048503065776,21,2.6707301882657473,0.013153847136040812,0.005287436601660574
